year,active_employees,entries,exits,net_change,growth_rate
1956,664,664,0,664,
1957,2104,1440,1,1439,216.86746987951807
1958,4097,1993,0,1993,94.72433460076046
1959,5825,1728,1,1727,42.17720283134001
1960,8222,2397,0,2397,41.15021459227468
1961,11454,3232,1,3231,39.3091705181221
1962,15309,3855,0,3855,33.656364588789934
1963,19327,4019,0,4019,26.245999085505268
1964,23085,3759,2,3757,19.444300719201113
1965,25782,2697,0,2697,11.682910981156592
1966,28836,3054,0,3054,11.845473586222944
1967,31674,2839,1,2838,9.841864336246363
1968,35692,4018,1,4017,12.685483361747796
1969,41170,5478,1,5477,15.347977137733949
1970,46377,5207,0,5207,12.647558902113198
1971,51639,5264,6,5258,11.346141406300546
1972,57030,5394,6,5388,10.439783884273513
1973,63393,6422,79,6343,11.157285639137292
1974,70492,7172,104,7068,11.198397299386365
1975,79360,8959,130,8829,12.580150939113665
1976,89423,10220,199,10021,12.680191532258057
1977,100789,11556,252,11304,12.710376525055068
1978,113643,13066,261,12805,12.753375864429639
1979,128421,15031,299,14732,13.003880573374516
1980,148222,20276,546,19730,15.418817794597462
1981,167287,19410,399,19011,12.86246306216352
1982,192009,25185,509,24676,14.778195556140039
1983,213212,21759,589,21170,11.042711539563243
1984,231857,19310,709,18601,8.744817364876267
1985,246440,15427,884,14543,6.28965267384638
1986,259655,13923,735,13188,5.3623600064924615
1987,277595,18765,874,17891,6.9091679343744605
1988,295659,18966,941,18025,6.507321817756084
1989,310962,16021,753,15268,5.175895203596026
1990,327239,17698,1492,16206,5.2344016310674535
1991,356201,30097,1186,28911,8.850412084134218
1992,375097,20455,1643,18812,5.304870003172368
1993,390971,17820,2004,15816,4.231971996576878
1994,408064,19636,2617,17019,4.3719355143987615
1995,423023,17642,2753,14889,3.6658465338770485
1996,434418,14641,3336,11305,2.693706961560016
1997,450351,19278,3388,15890,3.667665704459755
1998,461322,14749,3840,10909,2.4360998421231406
1999,473937,16809,4252,12557,2.7345324957404937
2000,483484,16424,6899,9525,2.0144027581725066
2001,496585,20911,7820,13091,2.7097070430458947
2002,509890,23122,9829,13293,2.679299616379871
2003,520136,19250,9009,10241,2.009453019278662
2004,526551,15649,9237,6412,1.2333312825876241
2005,501259,13972,39266,-25294,-4.803333390307873
2006,507312,13565,7512,6053,1.2075593655176187
2007,511935,12539,7918,4621,0.9112735358122848
2008,518509,15470,8899,6571,1.2841474015255816
2009,526497,17051,9070,7981,1.5405711376273112
2010,536243,21346,11615,9731,1.851102665352311
2011,555176,30301,11389,18912,3.5306754587006273
2012,555805,15200,14541,659,0.1132974047869606
2013,556975,17213,16036,1177,0.21050548303811478
2014,554582,12938,15330,-2392,-0.4296422640154396
2015,545197,11020,20402,-9382,-1.69226552610795
2016,531469,11674,25419,-13745,-2.5179889104305464
2017,533288,15604,13769,1835,0.3422589087980654
2018,524532,10391,19151,-8760,-1.6418895606126527
2019,511546,6899,19885,-12986,-2.4757307466465317
2020,505970,9368,14940,-5572,-1.0900290491959619
2021,581655,94238,18555,75683,14.958396742889901
2022,584465,23787,20976,2811,0.4831042456439061
2023,596381,29739,17827,11912,2.0387876091810364
2024,610125,35127,21382,13745,2.304567046904582
2025,616380,25175,18919,6256,1.0251997541487423
